../map_txt/empty_32x32.txt	strat_point-target_point: [2, 31]-[1, 1]	open_list size: 125close_list size: 31	path_size: 29	
../map_txt/empty_32x32.txt	strat_point-target_point: [3, 31]-[1, 1]	open_list size: 124close_list size: 67	path_size: 28	
../map_txt/empty_32x32.txt	strat_point-target_point: [4, 31]-[1, 1]	open_list size: 125close_list size: 98	path_size: 27	
../map_txt/empty_32x32.txt	strat_point-target_point: [5, 31]-[1, 1]	open_list size: 130close_list size: 113	path_size: 26	
../map_txt/empty_32x32.txt	strat_point-target_point: [6, 31]-[1, 1]	open_list size: 118close_list size: 141	path_size: 25	
../map_txt/empty_32x32.txt	strat_point-target_point: [7, 31]-[1, 1]	open_list size: 119close_list size: 148	path_size: 24	
../map_txt/empty_32x32.txt	strat_point-target_point: [8, 31]-[1, 1]	open_list size: 125close_list size: 151	path_size: 23	
../map_txt/empty_32x32.txt	strat_point-target_point: [9, 31]-[1, 1]	open_list size: 127close_list size: 157	path_size: 22	
../map_txt/empty_32x32.txt	strat_point-target_point: [10, 31]-[1, 1]	open_list size: 133close_list size: 149	path_size: 21	
../map_txt/empty_32x32.txt	strat_point-target_point: [11, 31]-[1, 1]	open_list size: 135close_list size: 143	path_size: 20	
../map_txt/empty_32x32.txt	strat_point-target_point: [12, 31]-[1, 1]	open_list size: 139close_list size: 125	path_size: 19	
../map_txt/empty_32x32.txt	strat_point-target_point: [13, 31]-[1, 1]	open_list size: 141close_list size: 110	path_size: 18	
../map_txt/empty_32x32.txt	strat_point-target_point: [14, 31]-[1, 1]	open_list size: 148close_list size: 89	path_size: 17	
../map_txt/empty_32x32.txt	strat_point-target_point: [15, 31]-[1, 1]	open_list size: 149close_list size: 57	path_size: 16	
../map_txt/empty_32x32.txt	strat_point-target_point: [16, 31]-[1, 1]	open_list size: 148close_list size: 16	path_size: 15	
../map_txt/empty_32x32.txt	strat_point-target_point: [17, 31]-[1, 1]	open_list size: 156close_list size: 49	path_size: 16	
../map_txt/empty_32x32.txt	strat_point-target_point: [18, 31]-[1, 1]	open_list size: 155close_list size: 74	path_size: 17	
../map_txt/empty_32x32.txt	strat_point-target_point: [19, 31]-[1, 1]	open_list size: 160close_list size: 95	path_size: 18	
../map_txt/empty_32x32.txt	strat_point-target_point: [20, 31]-[1, 1]	open_list size: 158close_list size: 104	path_size: 19	
../map_txt/empty_32x32.txt	strat_point-target_point: [21, 31]-[1, 1]	open_list size: 163close_list size: 117	path_size: 20	
../map_txt/empty_32x32.txt	strat_point-target_point: [22, 31]-[1, 1]	open_list size: 160close_list size: 127	path_size: 21	
../map_txt/empty_32x32.txt	strat_point-target_point: [23, 31]-[1, 1]	open_list size: 167close_list size: 139	path_size: 22	
../map_txt/empty_32x32.txt	strat_point-target_point: [24, 31]-[1, 1]	open_list size: 169close_list size: 138	path_size: 23	
../map_txt/empty_32x32.txt	strat_point-target_point: [25, 31]-[1, 1]	open_list size: 172close_list size: 133	path_size: 24	
../map_txt/empty_32x32.txt	strat_point-target_point: [26, 31]-[1, 1]	open_list size: 171close_list size: 126	path_size: 25	
../map_txt/empty_32x32.txt	strat_point-target_point: [27, 31]-[1, 1]	open_list size: 176close_list size: 109	path_size: 26	
../map_txt/empty_32x32.txt	strat_point-target_point: [28, 31]-[1, 1]	open_list size: 178close_list size: 91	path_size: 27	
../map_txt/empty_32x32.txt	strat_point-target_point: [29, 31]-[1, 1]	open_list size: 179close_list size: 86	path_size: 28	
../map_txt/empty_32x32.txt	strat_point-target_point: [30, 31]-[1, 1]	open_list size: 183close_list size: 39	path_size: 29	
../map_txt/empty_32x32.txt	strat_point-target_point: [31, 31]-[1, 1]	open_list size: 178close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [0, 31]-[1, 1]	open_list size: 103close_list size: 55	path_size: 28	
../map_txt/empty_32x32.txt	strat_point-target_point: [1, 31]-[1, 1]	open_list size: 128close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [2, 31]-[1, 1]	open_list size: 143close_list size: 45	path_size: 28	
../map_txt/empty_32x32.txt	strat_point-target_point: [3, 31]-[1, 1]	open_list size: 155close_list size: 56	path_size: 26	
../map_txt/empty_32x32.txt	strat_point-target_point: [4, 31]-[1, 1]	open_list size: 168close_list size: 72	path_size: 24	
../map_txt/empty_32x32.txt	strat_point-target_point: [5, 31]-[1, 1]	open_list size: 177close_list size: 85	path_size: 22	
../map_txt/empty_32x32.txt	strat_point-target_point: [6, 31]-[1, 1]	open_list size: 178close_list size: 86	path_size: 20	
../map_txt/empty_32x32.txt	strat_point-target_point: [7, 31]-[1, 1]	open_list size: 185close_list size: 86	path_size: 18	
../map_txt/empty_32x32.txt	strat_point-target_point: [8, 31]-[1, 1]	open_list size: 196close_list size: 80	path_size: 16	
../map_txt/empty_32x32.txt	strat_point-target_point: [9, 31]-[1, 1]	open_list size: 203close_list size: 68	path_size: 14	
../map_txt/empty_32x32.txt	strat_point-target_point: [10, 31]-[1, 1]	open_list size: 210close_list size: 47	path_size: 12	
../map_txt/empty_32x32.txt	strat_point-target_point: [11, 31]-[1, 1]	open_list size: 210close_list size: 11	path_size: 10	
