../map_txt/empty_32x32.txt	strat_point-target_point: [7, 31]-[0, 0]	open_list size: 113	 close_list size: 156	path_size: 24	
../map_txt/empty_32x32.txt	strat_point-target_point: [8, 31]-[0, 0]	open_list size: 114	 close_list size: 161	path_size: 23	
../map_txt/empty_32x32.txt	strat_point-target_point: [9, 31]-[0, 0]	open_list size: 126	 close_list size: 145	path_size: 22	
../map_txt/empty_32x32.txt	strat_point-target_point: [10, 31]-[0, 0]	open_list size: 130	 close_list size: 142	path_size: 21	
../map_txt/empty_32x32.txt	strat_point-target_point: [11, 31]-[0, 0]	open_list size: 124	 close_list size: 143	path_size: 20	
../map_txt/empty_32x32.txt	strat_point-target_point: [12, 31]-[0, 0]	open_list size: 133	 close_list size: 127	path_size: 19	
../map_txt/empty_32x32.txt	strat_point-target_point: [13, 31]-[0, 0]	open_list size: 138	 close_list size: 108	path_size: 18	
../map_txt/empty_32x32.txt	strat_point-target_point: [14, 31]-[0, 0]	open_list size: 146	 close_list size: 64	path_size: 17	
../map_txt/empty_32x32.txt	strat_point-target_point: [15, 31]-[0, 0]	open_list size: 150	 close_list size: 42	path_size: 16	
../map_txt/empty_32x32.txt	strat_point-target_point: [16, 31]-[0, 0]	open_list size: 154	 close_list size: 25	path_size: 16	
../map_txt/empty_32x32.txt	strat_point-target_point: [17, 31]-[0, 0]	open_list size: 157	 close_list size: 67	path_size: 17	
../map_txt/empty_32x32.txt	strat_point-target_point: [18, 31]-[0, 0]	open_list size: 158	 close_list size: 85	path_size: 18	
../map_txt/empty_32x32.txt	strat_point-target_point: [19, 31]-[0, 0]	open_list size: 161	 close_list size: 100	path_size: 19	
../map_txt/empty_32x32.txt	strat_point-target_point: [20, 31]-[0, 0]	open_list size: 161	 close_list size: 116	path_size: 20	
../map_txt/empty_32x32.txt	strat_point-target_point: [21, 31]-[0, 0]	open_list size: 164	 close_list size: 130	path_size: 21	
../map_txt/empty_32x32.txt	strat_point-target_point: [22, 31]-[0, 0]	open_list size: 166	 close_list size: 137	path_size: 22	
../map_txt/empty_32x32.txt	strat_point-target_point: [23, 31]-[0, 0]	open_list size: 170	 close_list size: 145	path_size: 23	
../map_txt/empty_32x32.txt	strat_point-target_point: [24, 31]-[0, 0]	open_list size: 171	 close_list size: 144	path_size: 24	
../map_txt/empty_32x32.txt	strat_point-target_point: [25, 31]-[0, 0]	open_list size: 172	 close_list size: 141	path_size: 25	
../map_txt/empty_32x32.txt	strat_point-target_point: [26, 31]-[0, 0]	open_list size: 173	 close_list size: 126	path_size: 26	
../map_txt/empty_32x32.txt	strat_point-target_point: [27, 31]-[0, 0]	open_list size: 176	 close_list size: 112	path_size: 27	
../map_txt/empty_32x32.txt	strat_point-target_point: [28, 31]-[0, 0]	open_list size: 179	 close_list size: 94	path_size: 28	
../map_txt/empty_32x32.txt	strat_point-target_point: [29, 31]-[0, 0]	open_list size: 182	 close_list size: 84	path_size: 29	
../map_txt/empty_32x32.txt	strat_point-target_point: [30, 31]-[0, 0]	open_list size: 181	 close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [31, 31]-[0, 0]	open_list size: 180	 close_list size: 32	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [0, 31]-[0, 0]	open_list size: 96	 close_list size: 32	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [1, 31]-[0, 0]	open_list size: 125	 close_list size: 34	path_size: 29	
../map_txt/empty_32x32.txt	strat_point-target_point: [2, 31]-[0, 0]	open_list size: 125	 close_list size: 65	path_size: 27	
../map_txt/empty_32x32.txt	strat_point-target_point: [3, 31]-[0, 0]	open_list size: 136	 close_list size: 81	path_size: 25	
